sku,date,actual,predicted,accuracy,pred_p50,acc_p50,strategy,is_promo,discount_rate,ppc_fee
H0002,2025-10-01,36,30.6,85.1,39.5,90.2,AQ(P30),0,0.2718,112.65
H0002,2025-10-02,35,37.7,92.2,48.2,62.4,AQ(P30),0,0.272,164.73
H0002,2025-10-03,49,31.6,64.5,42.0,85.7,AQ(P30),0,0.28,104.72
H0002,2025-10-04,133,34.2,25.7,44.5,33.5,AQ(P30),0,0.2825,155.31
H0002,2025-10-05,51,38.4,75.3,52.2,97.6,AQ(P30),0,0.1317,158.23
H0002,2025-10-06,41,35.2,85.8,48.9,80.8,AQ(P30),0,0.3,161.47
H0002,2025-10-07,273,627.9,0.0,771.5,0.0,AQ(P30),0,0.0,938.68
H0002,2025-10-08,383,642.5,32.2,767.4,0.0,AQ(P30),0,0.0,846.55
H0002,2025-10-09,142,69.6,49.0,98.3,69.2,AQ(P30),0,0.0,264.65
H0002,2025-10-10,128,75.2,58.8,102.7,80.2,AQ(P30),0,0.0,265.97
H0002,2025-10-11,132,53.4,40.5,73.0,55.3,AQ(P30),0,0.0,230.78
H0002,2025-10-12,163,98.9,60.7,126.1,77.4,AQ(P30),0,0.0,338.58
H0002,2025-10-13,69,101.0,53.7,126.6,16.6,AQ(P30),0,0.1847,373.84
H0002,2025-10-14,80,50.4,63.0,68.1,85.1,AQ(P30),0,0.2,265.27
H0002,2025-10-15,71,33.8,47.6,46.9,66.1,AQ(P30),0,0.176,198.33
H0002,2025-10-16,78,34.2,43.9,47.0,60.2,AQ(P30),0,0.2053,171.44
H0002,2025-10-17,55,39.3,71.4,49.5,90.0,AQ(P30),0,0.0404,151.97
H0002,2025-10-18,69,41.8,60.5,52.2,75.7,AQ(P30),0,0.0485,158.57
H0002,2025-10-19,62,48.5,78.2,61.1,98.6,AQ(P30),0,0.0492,207.47
H0002,2025-10-20,42,41.0,97.5,51.9,76.3,AQ(P30),0,0.05,151.17
H0002,2025-10-21,49,42.8,87.3,54.5,88.9,AQ(P30),0,0.05,170.32
H0002,2025-10-22,38,37.0,97.3,46.6,77.4,AQ(P30),0,0.05,106.2
H0002,2025-10-23,45,44.1,98.1,56.0,75.6,AQ(P30),0,0.05,172.29
H0002,2025-10-24,56,37.1,66.3,46.8,83.5,AQ(P30),0,0.1898,111.63
H0002,2025-10-25,33,36.2,90.3,46.1,60.2,AQ(P30),0,0.0571,102.02
H0002,2025-10-26,52,37.8,72.6,49.0,94.2,AQ(P30),0,0.154,145.55
H0002,2025-10-27,61,33.5,54.8,43.3,70.9,AQ(P30),0,0.1823,159.26
H0002,2025-10-28,120,30.6,25.5,39.5,32.9,AQ(P30),0,0.321,130.77
H0002,2025-10-29,60,31.2,52.1,39.9,66.5,AQ(P30),0,0.0,115.84
H0002,2025-10-30,54,34.2,63.3,44.1,81.7,AQ(P30),0,0.0,140.69
H0002,2025-10-31,44,38.8,88.1,50.8,84.5,AQ(P30),0,0.0,143.83
H0002,2025-11-01,36,41.9,83.6,54.4,49.0,AQ(P30),0,0.0,123.7
H0002,2025-11-02,54,43.1,79.8,56.6,95.2,AQ(P30),0,0.0,129.81
H0002,2025-11-03,28,39.7,58.3,51.6,15.8,AQ(P30),0,0.0,105.81
H0002,2025-11-04,106,40.7,38.4,53.2,50.1,AQ(P30),0,0.3451,191.22
H0002,2025-11-05,29,36.9,72.7,48.1,34.2,AQ(P30),0,0.2704,160.95
H0002,2025-11-06,25,37.1,51.6,47.3,10.7,AQ(P30),0,0.28,99.9
H0002,2025-11-07,64,39.5,61.7,51.3,80.2,AQ(P30),0,0.2813,129.31
H0002,2025-11-08,90,41.4,46.0,53.5,59.5,AQ(P30),0,0.2963,129.81
H0002,2025-11-09,72,52.6,73.0,68.3,94.8,AQ(P30),0,0.2963,190.23
H0002,2025-11-10,55,38.1,69.2,48.9,88.9,AQ(P30),0,0.2963,124.73
H0002,2025-11-11,46,31.4,68.3,40.5,88.1,AQ(P30),0,0.3189,95.49
H0002,2025-11-12,34,33.2,97.5,43.4,72.3,AQ(P30),0,0.0811,109.73
H0002,2025-11-13,30,37.7,74.5,48.9,37.0,AQ(P30),0,0.11,106.98
H0002,2025-11-14,69,38.9,56.3,51.3,74.3,AQ(P30),0,0.3109,104.5
H0002,2025-11-15,77,58.7,76.2,76.6,99.5,AQ(P30),0,0.3043,189.08
H0002,2025-11-16,83,43.3,52.2,57.8,69.7,AQ(P30),0,0.3101,136.15
H0002,2025-11-17,67,36.6,54.6,49.3,73.6,AQ(P30),0,0.2857,110.68
H0002,2025-11-18,62,41.1,66.3,61.9,99.8,AQ(P30),0,0.3034,101.66
H0002,2025-11-19,55,54.1,98.3,83.4,48.4,AQ(P30),0,0.3,116.6
H0002,2025-11-20,184,126.3,68.7,194.3,94.4,AQ(P30),0,0.0,124.73
H0002,2025-11-21,147,159.4,91.5,236.2,39.4,AQ(P30),0,0.0,111.01
H0002,2025-11-22,165,280.9,29.7,374.5,0.0,AQ(P30),1,0.0,119.25
H0002,2025-11-23,156,311.8,0.1,407.3,0.0,AQ(P30),1,0.0,129.93
H0002,2025-11-24,122,311.4,0.0,413.2,0.0,AQ(P30),1,0.0,193.59
H0002,2025-11-25,119,318.7,0.0,419.9,0.0,AQ(P30),1,0.0,166.69
H0002,2025-11-26,118,362.4,0.0,462.3,0.0,AQ(P30),1,0.0,187.68
H0002,2025-11-27,121,339.9,0.0,456.7,0.0,AQ(P30),1,0.0,163.33
H0002,2025-11-28,283,539.3,9.4,639.6,0.0,AQ(P30),2,0.0,433.57
H0002,2025-11-29,158,356.6,0.0,466.3,0.0,AQ(P30),1,0.0,121.77
H0004,2025-10-01,32,33.7,94.7,33.7,94.7,P50,0,0.0715,11.84
