sku,date,actual,predicted,accuracy,is_promo,discount_rate,ppc_fee,sessions,ppc_clicks,ppc_ad_order_quantity,conversion_rate
H0002,2025-10-01,36,41.3,85.3,0,0.2718,112.65,519.0,6.0,0.0,0.0694
H0002,2025-10-02,35,45.7,69.4,0,0.272,164.73,512.0,60.0,1.0,0.0625
H0002,2025-10-03,49,44.4,90.7,0,0.28,104.72,525.0,0.0,0.0,0.0781
H0002,2025-10-04,133,47.2,35.5,0,0.2825,155.31,1135.0,1.0,0.0,0.1181
H0002,2025-10-05,51,54.7,92.8,0,0.1317,158.23,916.0,93.0,16.0,0.0513
H0002,2025-10-06,41,52.8,71.3,0,0.3,161.47,772.0,148.0,27.0,0.0518
H0002,2025-10-07,273,761.6,0.0,0,0.0,938.68,2507.0,798.0,137.0,0.1009
H0002,2025-10-08,383,756.4,2.5,0,0.0,846.55,2289.0,662.0,139.0,0.145
H0002,2025-10-09,142,101.1,71.2,0,0.0,264.65,1030.0,3.0,1.0,0.1233
H0002,2025-10-10,128,98.7,77.1,0,0.0,265.97,909.0,1.0,1.0,0.1177
H0002,2025-10-11,132,74.8,56.7,0,0.0,230.78,1015.0,0.0,2.0,0.1113
H0002,2025-10-12,163,124.4,76.3,0,0.0,338.58,1274.0,0.0,3.0,0.106
H0002,2025-10-13,69,117.5,29.7,0,0.1847,373.84,913.0,1.0,0.0,0.0668
H0002,2025-10-14,80,67.6,84.5,0,0.2,265.27,873.0,2.0,2.0,0.0756
H0002,2025-10-15,71,48.4,68.2,0,0.176,198.33,815.0,2.0,0.0,0.081
H0002,2025-10-16,78,48.6,62.4,0,0.2053,171.44,737.0,2.0,2.0,0.0991
H0002,2025-10-17,55,53.1,96.5,0,0.0404,151.97,725.0,2.0,3.0,0.0717
H0002,2025-10-18,69,56.6,82.0,0,0.0485,158.57,799.0,3.0,1.0,0.0814
H0002,2025-10-19,62,65.1,95.0,0,0.0492,207.47,871.0,0.0,0.0,0.0643
H0002,2025-10-20,42,55.2,68.6,0,0.05,151.17,432.0,0.0,0.0,0.0833
H0002,2025-10-21,49,54.2,89.4,0,0.05,170.32,614.0,0.0,0.0,0.07
H0002,2025-10-22,38,47.4,75.2,0,0.05,106.2,623.0,0.0,0.0,0.0498
H0002,2025-10-23,45,53.1,82.1,0,0.05,172.29,551.0,0.0,0.0,0.078
H0002,2025-10-24,56,47.2,84.2,0,0.1898,111.63,530.0,1.0,0.0,0.0962
H0002,2025-10-25,33,47.9,54.7,0,0.0571,102.02,585.0,106.0,14.0,0.053
H0002,2025-10-26,52,50.4,96.8,0,0.154,145.55,713.0,135.0,27.0,0.0631
H0002,2025-10-27,61,45.6,74.7,0,0.1823,159.26,571.0,110.0,28.0,0.1016
H0002,2025-10-28,120,41.5,34.6,0,0.321,130.77,1183.0,113.0,34.0,0.1006
H0002,2025-10-29,60,42.8,71.3,0,0.0,115.84,551.0,1.0,2.0,0.098
H0002,2025-10-30,54,47.1,87.2,0,0.0,140.69,603.0,0.0,0.0,0.0862
H0002,2025-10-31,44,52.6,80.5,0,0.0,143.83,503.0,23.0,0.0,0.0736
H0002,2025-11-01,36,55.2,46.7,0,0.0,123.7,666.0,23.0,1.0,0.0511
H0002,2025-11-02,54,57.2,94.1,0,0.0,129.81,796.0,105.0,12.0,0.0603
H0002,2025-11-03,28,50.8,18.4,0,0.0,105.81,611.0,90.0,12.0,0.0409
H0002,2025-11-04,106,49.9,47.0,0,0.3451,191.22,906.0,162.0,22.0,0.1148
H0002,2025-11-05,29,46.4,39.8,0,0.2704,160.95,503.0,124.0,18.0,0.0577
H0002,2025-11-06,25,45.5,18.1,0,0.28,99.9,506.0,6.0,0.0,0.0435
H0002,2025-11-07,64,47.6,74.4,0,0.2813,129.31,577.0,12.0,0.0,0.1057
H0002,2025-11-08,90,50.8,56.4,0,0.2963,129.81,728.0,41.0,0.0,0.1195
H0002,2025-11-09,72,63.4,88.1,0,0.2963,190.23,780.0,34.0,1.0,0.0923
H0002,2025-11-10,55,48.1,87.5,0,0.2963,124.73,596.0,12.0,0.0,0.0906
H0002,2025-11-11,46,40.9,88.9,0,0.3189,95.49,558.0,9.0,0.0,0.0806
H0002,2025-11-12,34,44.3,69.8,0,0.0811,109.73,632.0,7.0,0.0,0.0506
H0002,2025-11-13,30,48.6,38.0,0,0.11,106.98,632.0,22.0,0.0,0.0443
H0002,2025-11-14,69,48.7,70.6,0,0.3109,104.5,593.0,11.0,2.0,0.1046
H0002,2025-11-15,77,68.8,89.3,0,0.3043,189.08,815.0,114.0,7.0,0.0883
H0002,2025-11-16,83,56.2,67.7,0,0.3101,136.15,872.0,17.0,0.0,0.0791
H0002,2025-11-17,67,48.6,72.6,0,0.2857,110.68,693.0,10.0,0.0,0.0851
H0002,2025-11-18,62,52.6,84.9,0,0.3034,101.66,543.0,17.0,1.0,0.1013
H0002,2025-11-19,55,70.3,72.3,0,0.3,116.6,652.0,9.0,0.0,0.0736
H0002,2025-11-20,184,164.4,89.3,0,0.0,124.73,1266.0,23.0,1.0,0.128
H0002,2025-11-21,147,213.6,54.7,0,0.0,111.01,1052.0,13.0,0.0,0.1207
H0002,2025-11-22,165,333.4,0.0,1,0.0,119.25,1257.0,20.0,2.0,0.1106
H0002,2025-11-23,156,384.3,0.0,1,0.0,129.93,1357.0,12.0,0.0,0.1032
H0002,2025-11-24,122,407.0,0.0,1,0.0,193.59,1078.0,10.0,0.0,0.102
H0002,2025-11-25,119,386.8,0.0,1,0.0,166.69,997.0,8.0,0.0,0.1093
H0002,2025-11-26,118,421.8,0.0,1,0.0,187.68,870.0,27.0,3.0,0.1184
H0002,2025-11-27,121,433.9,0.0,1,0.0,163.33,926.0,3.0,0.0,0.1112
H0002,2025-11-28,283,616.3,0.0,2,0.0,433.57,1710.0,38.0,1.0,0.1415
H0002,2025-11-29,158,439.5,0.0,1,0.0,121.77,1193.0,27.0,2.0,0.114
H0004,2025-10-01,32,34.3,92.7,0,0.0715,11.84,128.0,14.0,2.0,0.2109
H0004,2025-10-02,35,31.9,91.1,0,0.0825,10.55,146.0,0.0,0.0,0.1781
H0004,2025-10-03,17,29.2,28.2,0,0.0094,11.05,124.0,13.0,3.0,0.121
H0004,2025-10-04,14,26.4,11.4,0,0.0,10.47,133.0,12.0,1.0,0.1053
H0004,2025-10-05,19,27.5,55.1,0,0.0158,13.74,103.0,16.0,6.0,0.165
H0004,2025-10-06,27,36.7,64.3,0,0.0148,10.62,166.0,12.0,1.0,0.1265
H0004,2025-10-07,70,73.9,94.4,0,0.0143,80.81,363.0,82.0,10.0,0.1625
H0004,2025-10-08,68,79.0,83.8,0,0.0559,93.03,326.0,93.0,14.0,0.1963
H0004,2025-10-09,35,34.1,97.5,0,0.1,13.17,156.0,14.0,5.0,0.1795
H0004,2025-10-10,23,30.3,68.3,0,0.0999,10.26,136.0,11.0,2.0,0.1618
H0004,2025-10-11,19,26.8,58.8,0,0.1,14.85,131.0,18.0,2.0,0.1374
H0004,2025-10-12,36,44.6,76.1,0,0.1,67.34,130.0,12.0,0.0,0.2231
