sku,date,actual,predicted,accuracy
SKU_A,2025-10-01,47,52,90.0999984741211
SKU_A,2025-10-02,47,51,90.69999694824219
SKU_A,2025-10-03,49,50,98.0999984741211
SKU_A,2025-10-04,46,46,99.0999984741211
SKU_A,2025-10-05,44,48,90.30000305175781
SKU_A,2025-10-06,49,61,75.5999984741211
SKU_A,2025-10-07,116,91,78.80000305175781
SKU_A,2025-10-08,106,117,90.0999984741211
SKU_A,2025-10-09,71,86,78.9000015258789
SKU_A,2025-10-10,68,66,96.9000015258789
SKU_A,2025-10-11,53,60,87.4000015258789
SKU_A,2025-10-12,60,65,92.19999694824219
SKU_A,2025-10-13,92,71,77.0999984741211
SKU_A,2025-10-14,83,67,81.0
SKU_A,2025-10-15,94,68,71.9000015258789
SKU_A,2025-10-16,74,71,96.5999984741211
SKU_A,2025-10-17,81,74,91.5
SKU_A,2025-10-18,74,66,89.19999694824219
SKU_A,2025-10-19,72,77,92.9000015258789
SKU_A,2025-10-20,59,61,97.30000305175781
SKU_A,2025-10-21,101,95,94.0999984741211
SKU_A,2025-10-22,101,87,86.19999694824219
SKU_A,2025-10-23,101,74,73.5
SKU_A,2025-10-24,90,84,92.9000015258789
SKU_A,2025-10-25,91,75,82.19999694824219
SKU_A,2025-10-26,111,78,70.0999984741211
SKU_A,2025-10-27,93,79,84.80000305175781
SKU_A,2025-10-28,78,80,97.0
SKU_A,2025-10-29,76,81,92.80000305175781
SKU_A,2025-10-30,73,74,98.19999694824219
SKU_A,2025-10-31,53,56,93.5999984741211
SKU_A,2025-11-01,59,62,94.5
SKU_A,2025-11-02,101,82,80.80000305175781
SKU_A,2025-11-03,118,84,70.9000015258789
SKU_A,2025-11-04,76,73,95.4000015258789
SKU_A,2025-11-05,69,73,93.9000015258789
SKU_A,2025-11-06,102,81,79.5
SKU_A,2025-11-07,89,75,84.0999984741211
SKU_A,2025-11-08,58,71,77.4000015258789
SKU_A,2025-11-09,115,106,92.4000015258789
SKU_A,2025-11-10,131,117,89.5999984741211
SKU_A,2025-11-11,104,109,95.4000015258789
SKU_A,2025-11-12,80,86,92.0
SKU_A,2025-11-13,87,74,85.0
SKU_A,2025-11-14,100,74,74.30000305175781
SKU_A,2025-11-15,68,63,92.5999984741211
SKU_A,2025-11-16,72,79,91.0
SKU_A,2025-11-17,78,93,81.0
SKU_A,2025-11-18,95,86,90.69999694824219
SKU_A,2025-11-19,88,87,98.30000305175781
SKU_A,2025-11-20,116,96,82.30000305175781
SKU_A,2025-11-21,91,91,99.9000015258789
SKU_A,2025-11-22,122,100,81.69999694824219
SKU_A,2025-11-23,92,105,85.5
SKU_A,2025-11-24,92,91,99.4000015258789
SKU_A,2025-11-25,76,87,84.9000015258789
SKU_A,2025-11-26,75,100,66.80000305175781
SKU_A,2025-11-27,88,101,85.0
SKU_A,2025-11-28,166,186,87.69999694824219
SKU_A,2025-11-29,109,115,94.5
SKU_B,2025-10-01,35,52,52.400001525878906
SKU_B,2025-10-02,45,53,82.69999694824219
SKU_B,2025-10-03,40,51,71.80000305175781
SKU_B,2025-10-04,51,53,96.0999984741211
SKU_B,2025-10-05,56,71,72.9000015258789
SKU_B,2025-10-06,52,70,64.9000015258789
SKU_B,2025-10-07,332,348,95.19999694824219
SKU_B,2025-10-08,452,519,85.30000305175781
SKU_B,2025-10-09,65,60,92.80000305175781
SKU_B,2025-10-10,62,54,87.4000015258789
SKU_B,2025-10-11,89,62,69.80000305175781
SKU_B,2025-10-12,62,67,92.0
SKU_B,2025-10-13,72,65,90.0999984741211
SKU_B,2025-10-14,57,56,98.80000305175781
SKU_B,2025-10-15,71,60,84.5
SKU_B,2025-10-16,36,50,62.400001525878906
SKU_B,2025-10-17,49,55,86.9000015258789
SKU_B,2025-10-18,59,66,88.5999984741211
SKU_B,2025-10-19,52,68,70.19999694824219
SKU_B,2025-10-20,56,59,94.5
SKU_B,2025-10-21,70,56,80.5999984741211
SKU_B,2025-10-22,46,55,80.0
SKU_B,2025-10-23,56,55,98.30000305175781
SKU_B,2025-10-24,52,61,81.9000015258789
SKU_B,2025-10-25,60,78,70.30000305175781
SKU_B,2025-10-26,76,99,70.0999984741211
SKU_B,2025-10-27,51,54,95.0
SKU_B,2025-10-28,43,49,86.4000015258789
SKU_B,2025-10-29,61,55,90.80000305175781
SKU_B,2025-10-30,64,56,88.30000305175781
SKU_B,2025-10-31,64,56,88.19999694824219
SKU_B,2025-11-01,106,78,73.69999694824219
SKU_B,2025-11-02,135,101,75.19999694824219
SKU_B,2025-11-03,125,72,57.5
SKU_B,2025-11-04,102,73,71.30000305175781
SKU_B,2025-11-05,108,70,64.5
SKU_B,2025-11-06,103,69,67.0999984741211
SKU_B,2025-11-07,112,82,72.9000015258789
SKU_B,2025-11-08,148,112,75.5
SKU_B,2025-11-09,210,139,66.0999984741211
SKU_B,2025-11-10,137,120,87.4000015258789
SKU_B,2025-11-11,156,110,70.69999694824219
SKU_B,2025-11-12,105,97,92.0
SKU_B,2025-11-13,114,107,94.30000305175781
SKU_B,2025-11-14,136,103,75.9000015258789
SKU_B,2025-11-15,210,159,75.9000015258789
SKU_B,2025-11-16,202,173,85.5
SKU_B,2025-11-17,159,137,86.4000015258789
SKU_B,2025-11-18,152,125,82.30000305175781
SKU_B,2025-11-19,149,131,87.69999694824219
SKU_B,2025-11-20,367,260,70.9000015258789
SKU_B,2025-11-21,306,264,86.4000015258789
SKU_B,2025-11-22,394,367,93.0999984741211
SKU_B,2025-11-23,456,425,93.19999694824219
SKU_B,2025-11-24,323,325,99.5
SKU_B,2025-11-25,352,294,83.5
SKU_B,2025-11-26,303,308,98.30000305175781
SKU_B,2025-11-27,338,334,98.9000015258789
SKU_B,2025-11-28,916,644,70.30000305175781
SKU_B,2025-11-29,651,507,77.9000015258789
SKU_C,2025-10-01,65,68,94.80000305175781
SKU_C,2025-10-02,72,69,96.4000015258789
SKU_C,2025-10-03,52,66,74.0
SKU_C,2025-10-04,54,70,70.5999984741211
SKU_C,2025-10-05,71,72,98.0999984741211
SKU_C,2025-10-06,47,89,11.300000190734863
SKU_C,2025-10-07,153,133,86.9000015258789
SKU_C,2025-10-08,184,123,66.5999984741211
SKU_C,2025-10-09,69,88,72.4000015258789
SKU_C,2025-10-10,77,72,93.0999984741211
SKU_C,2025-10-11,47,69,54.0
SKU_C,2025-10-12,72,66,91.69999694824219
SKU_C,2025-10-13,97,71,72.9000015258789
SKU_C,2025-10-14,101,79,78.5999984741211
SKU_C,2025-10-15,108,72,66.69999694824219
SKU_C,2025-10-16,107,73,68.5999984741211
SKU_C,2025-10-17,88,69,78.0999984741211
SKU_C,2025-10-18,95,70,73.5999984741211
SKU_C,2025-10-19,90,72,79.69999694824219
SKU_C,2025-10-20,91,75,82.0999984741211
