sku,date,actual,predicted,accuracy,is_promo,discount_rate,ppc_fee
H0002,2025-10-01,36,33.4,92.9,0,0.2718,112.65
H0002,2025-10-02,35,49.1,59.6,0,0.272,164.73
H0002,2025-10-03,49,36.5,74.6,0,0.28,104.72
H0002,2025-10-04,133,55.4,41.7,0,0.2825,155.31
H0002,2025-10-05,51,66.3,69.9,0,0.1317,158.23
H0002,2025-10-06,41,61.1,50.9,0,0.3,161.47
H0002,2025-10-07,273,735.1,0.0,0,0.0,938.68
H0002,2025-10-08,383,399.7,95.6,0,0.0,846.55
H0002,2025-10-09,142,97.7,68.8,0,0.0,264.65
H0002,2025-10-10,128,103.2,80.6,0,0.0,265.97
H0002,2025-10-11,132,82.0,62.1,0,0.0,230.78
H0002,2025-10-12,163,115.5,70.9,0,0.0,338.58
H0002,2025-10-13,69,91.4,67.6,0,0.1847,373.84
H0002,2025-10-14,80,67.0,83.8,0,0.2,265.27
H0002,2025-10-15,71,55.3,77.8,0,0.176,198.33
H0002,2025-10-16,78,53.8,68.9,0,0.2053,171.44
H0002,2025-10-17,55,58.6,93.5,0,0.0404,151.97
H0002,2025-10-18,69,60.4,87.6,0,0.0485,158.57
H0002,2025-10-19,62,68.5,89.6,0,0.0492,207.47
H0002,2025-10-20,42,51.7,76.8,0,0.05,151.17
H0002,2025-10-21,49,53.2,91.5,0,0.05,170.32
H0002,2025-10-22,38,41.3,91.4,0,0.05,106.2
H0002,2025-10-23,45,49.9,89.1,0,0.05,172.29
H0002,2025-10-24,56,43.9,78.5,0,0.1898,111.63
H0002,2025-10-25,33,45.9,60.8,0,0.0571,102.02
H0002,2025-10-26,52,54.2,95.7,0,0.154,145.55
H0002,2025-10-27,61,46.6,76.4,0,0.1823,159.26
H0002,2025-10-28,120,41.1,34.2,0,0.321,130.77
H0002,2025-10-29,60,57.7,96.2,0,0.0,115.84
H0002,2025-10-30,54,55.7,96.8,0,0.0,140.69
H0002,2025-10-31,44,56.5,71.6,0,0.0,143.83
H0002,2025-11-01,36,54.4,48.8,0,0.0,123.7
H0002,2025-11-02,54,56.3,95.8,0,0.0,129.81
H0002,2025-11-03,28,52.3,13.1,0,0.0,105.81
H0002,2025-11-04,106,65.3,61.6,0,0.3451,191.22
H0002,2025-11-05,29,58.7,0.0,0,0.2704,160.95
H0002,2025-11-06,25,50.4,0.0,0,0.28,99.9
H0002,2025-11-07,64,55.4,86.5,0,0.2813,129.31
H0002,2025-11-08,90,57.1,63.5,0,0.2963,129.81
H0002,2025-11-09,72,66.8,92.7,0,0.2963,190.23
H0002,2025-11-10,55,54.6,99.2,0,0.2963,124.73
H0002,2025-11-11,46,49.8,91.8,0,0.3189,95.49
H0002,2025-11-12,34,45.4,66.4,0,0.0811,109.73
H0002,2025-11-13,30,49.4,35.2,0,0.11,106.98
H0002,2025-11-14,69,53.2,77.2,0,0.3109,104.5
H0002,2025-11-15,77,69.5,90.3,0,0.3043,189.08
H0002,2025-11-16,83,60.6,73.1,0,0.3101,136.15
H0002,2025-11-17,67,51.5,76.9,0,0.2857,110.68
H0002,2025-11-18,62,47.4,76.4,0,0.3034,101.66
H0002,2025-11-19,55,99.9,18.4,0,0.3,116.6
H0002,2025-11-20,184,163.0,88.6,0,0.0,124.73
H0002,2025-11-21,147,220.5,50.0,0,0.0,111.01
H0002,2025-11-22,165,263.0,40.6,1,0.0,119.25
H0002,2025-11-23,156,322.9,0.0,1,0.0,129.93
H0002,2025-11-24,122,322.1,0.0,1,0.0,193.59
H0002,2025-11-25,119,308.3,0.0,1,0.0,166.69
H0002,2025-11-26,118,129.5,90.3,1,0.0,187.68
H0002,2025-11-27,121,150.2,75.8,1,0.0,163.33
H0002,2025-11-28,283,251.9,89.0,2,0.0,433.57
H0002,2025-11-29,158,146.4,92.7,1,0.0,121.77
H0004,2025-10-01,32,35.8,88.1,0,0.0715,11.84
H0004,2025-10-02,35,32.8,93.7,0,0.0825,10.55
H0004,2025-10-03,17,30.9,18.0,0,0.0094,11.05
H0004,2025-10-04,14,25.8,15.9,0,0.0,10.47
H0004,2025-10-05,19,28.1,52.0,0,0.0158,13.74
H0004,2025-10-06,27,37.6,60.9,0,0.0148,10.62
H0004,2025-10-07,70,44.8,64.0,0,0.0143,80.81
H0004,2025-10-08,68,67.4,99.1,0,0.0559,93.03
H0004,2025-10-09,35,32.8,93.7,0,0.1,13.17
H0004,2025-10-10,23,31.9,61.4,0,0.0999,10.26
H0004,2025-10-11,19,26.2,61.9,0,0.1,14.85
H0004,2025-10-12,36,35.2,97.8,0,0.1,67.34
H0004,2025-10-13,19,36.4,8.4,0,0.0026,11.83
H0004,2025-10-14,39,36.4,93.3,0,0.0089,12.78
H0004,2025-10-15,28,35.1,74.8,0,0.0125,9.4
H0004,2025-10-16,30,31.5,94.9,0,0.0142,12.33
H0004,2025-10-17,20,29.1,54.5,0,0.0025,10.31
H0004,2025-10-18,29,25.0,86.1,0,0.0086,11.26
H0004,2025-10-19,32,25.8,80.7,0,0.041,14.84
H0004,2025-10-20,38,35.5,93.5,0,0.0157,18.21
H0004,2025-10-21,38,34.9,91.7,0,0.0196,11.28
H0004,2025-10-22,49,37.6,76.6,0,0.0142,10.89
H0004,2025-10-23,27,31.3,83.9,0,0.0126,13.78
H0004,2025-10-24,38,28.5,74.9,0,0.0271,11.69
H0004,2025-10-25,33,25.5,77.2,0,0.0047,14.99
H0004,2025-10-26,32,26.2,82.0,0,0.011,18.94
H0004,2025-10-27,46,37.7,81.9,0,0.0139,14.11
H0004,2025-10-28,39,34.6,88.6,0,0.0219,14.61
H0004,2025-10-29,36,39.6,90.0,0,0.0068,14.57
H0004,2025-10-30,26,34.5,67.2,0,0.01,14.93
