sku,date,actual,predicted,accuracy,strategy,is_promo,discount_rate,ppc_fee
H0002,2025-10-01,36,32.2,89.6,ensemble,0,0.2718,112.65
H0002,2025-10-02,35,31.6,90.3,ensemble,0,0.272,164.73
H0002,2025-10-03,49,35.9,73.2,ensemble,0,0.28,104.72
H0002,2025-10-04,133,58.0,43.6,ensemble,0,0.2825,155.31
H0002,2025-10-05,51,48.8,95.7,ensemble,0,0.1317,158.23
H0002,2025-10-06,41,45.8,88.2,ensemble,0,0.3,161.47
H0002,2025-10-07,273,298.6,90.6,ensemble,0,0.0,938.68
H0002,2025-10-08,383,298.1,77.8,ensemble,0,0.0,846.55
H0002,2025-10-09,142,101.7,71.7,ensemble,0,0.0,264.65
H0002,2025-10-10,128,103.7,81.0,ensemble,0,0.0,265.97
H0002,2025-10-11,132,86.1,65.2,ensemble,0,0.0,230.78
H0002,2025-10-12,163,114.6,70.3,ensemble,0,0.0,338.58
H0002,2025-10-13,69,72.6,94.7,ensemble,0,0.1847,373.84
H0002,2025-10-14,80,65.8,82.2,ensemble,0,0.2,265.27
H0002,2025-10-15,71,58.7,82.7,ensemble,0,0.176,198.33
H0002,2025-10-16,78,58.6,75.1,ensemble,0,0.2053,171.44
H0002,2025-10-17,55,60.5,90.0,ensemble,0,0.0404,151.97
H0002,2025-10-18,69,64.4,93.3,ensemble,0,0.0485,158.57
H0002,2025-10-19,62,67.0,92.0,ensemble,0,0.0492,207.47
H0002,2025-10-20,42,45.2,92.3,ensemble,0,0.05,151.17
H0002,2025-10-21,49,51.0,95.9,ensemble,0,0.05,170.32
H0002,2025-10-22,38,34.8,91.6,ensemble,0,0.05,106.2
H0002,2025-10-23,45,48.3,92.7,ensemble,0,0.05,172.29
H0002,2025-10-24,56,44.7,79.8,ensemble,0,0.1898,111.63
H0002,2025-10-25,33,34.0,96.9,ensemble,0,0.0571,102.02
H0002,2025-10-26,52,47.2,90.8,ensemble,0,0.154,145.55
H0002,2025-10-27,61,45.5,74.6,ensemble,0,0.1823,159.26
H0002,2025-10-28,120,47.0,39.1,ensemble,0,0.321,130.77
H0002,2025-10-29,60,57.8,96.3,ensemble,0,0.0,115.84
H0002,2025-10-30,54,55.6,97.0,ensemble,0,0.0,140.69
H0002,2025-10-31,44,46.8,93.7,ensemble,0,0.0,143.83
H0002,2025-11-01,36,46.3,71.5,ensemble,0,0.0,123.7
H0002,2025-11-02,54,56.5,95.3,ensemble,0,0.0,129.81
H0002,2025-11-03,28,36.8,68.7,ensemble,0,0.0,105.81
H0002,2025-11-04,106,70.8,66.8,ensemble,0,0.3451,191.22
H0002,2025-11-05,29,35.1,78.9,ensemble,0,0.2704,160.95
H0002,2025-11-06,25,30.4,78.5,ensemble,0,0.28,99.9
H0002,2025-11-07,64,55.3,86.4,ensemble,0,0.2813,129.31
H0002,2025-11-08,90,60.4,67.2,ensemble,0,0.2963,129.81
H0002,2025-11-09,72,66.8,92.8,ensemble,0,0.2963,190.23
H0002,2025-11-10,55,53.2,96.7,ensemble,0,0.2963,124.73
H0002,2025-11-11,46,49.2,93.1,ensemble,0,0.3189,95.49
H0002,2025-11-12,34,35.2,96.3,ensemble,0,0.0811,109.73
H0002,2025-11-13,30,33.7,87.6,ensemble,0,0.11,106.98
H0002,2025-11-14,69,51.7,75.0,ensemble,0,0.3109,104.5
H0002,2025-11-15,77,64.9,84.2,ensemble,0,0.3043,189.08
H0002,2025-11-16,83,58.0,69.9,ensemble,0,0.3101,136.15
H0002,2025-11-17,67,49.0,73.1,ensemble,0,0.2857,110.68
H0002,2025-11-18,62,45.5,73.5,ensemble,0,0.3034,101.66
H0002,2025-11-19,55,55.7,98.7,ensemble,0,0.3,116.6
H0002,2025-11-20,184,149.9,81.5,ensemble,0,0.0,124.73
H0002,2025-11-21,147,131.4,89.4,ensemble,0,0.0,111.01
H0002,2025-11-22,165,140.2,85.0,ensemble,1,0.0,119.25
H0002,2025-11-23,156,156.8,99.5,ensemble,1,0.0,129.93
H0002,2025-11-24,122,129.7,93.7,ensemble,1,0.0,193.59
H0002,2025-11-25,119,130.6,90.2,ensemble,1,0.0,166.69
H0002,2025-11-26,118,127.7,91.8,ensemble,1,0.0,187.68
H0002,2025-11-27,121,124.6,97.1,ensemble,1,0.0,163.33
H0002,2025-11-28,283,216.9,76.6,ensemble,2,0.0,433.57
H0002,2025-11-29,158,140.9,89.2,ensemble,1,0.0,121.77
H0004,2025-10-01,32,35.599998474121094,88.8,chronos,0,0.0715,11.84
H0004,2025-10-02,35,32.79999923706055,93.7,chronos,0,0.0825,10.55
H0004,2025-10-03,17,30.600000381469727,20.1,chronos,0,0.0094,11.05
H0004,2025-10-04,14,26.200000762939453,13.1,chronos,0,0.0,10.47
H0004,2025-10-05,19,28.399999618530273,50.4,chronos,0,0.0158,13.74
H0004,2025-10-06,27,38.400001525878906,57.9,chronos,0,0.0148,10.62
H0004,2025-10-07,70,44.900001525878906,64.2,chronos,0,0.0143,80.81
H0004,2025-10-08,68,67.5999984741211,99.4,chronos,0,0.0559,93.03
