sku,date,actual,pred_p50,pred_aq,pred_log,pred_combo,acc_p50,acc_aq,acc_log,acc_combo,cv,chosen_q,is_promo
H0002,2025-10-01,36,39.5,35.0,29.7,32.3,90.2,97.2,82.5,89.8,1.85,0.4,0
H0002,2025-10-02,35,48.2,43.1,41.6,42.4,62.4,76.7,81.1,78.9,1.85,0.4,0
H0002,2025-10-03,49,42.0,37.1,32.3,34.7,85.7,75.7,66.0,70.8,1.85,0.4,0
H0002,2025-10-04,133,44.5,39.9,39.6,39.7,33.5,30.0,29.7,29.9,1.85,0.4,0
H0002,2025-10-05,51,52.2,45.3,42.9,44.1,97.6,88.8,84.1,86.5,1.85,0.4,0
H0002,2025-10-06,41,48.9,42.5,42.3,42.4,80.8,96.3,96.8,96.6,1.85,0.4,0
H0002,2025-10-07,273,771.5,699.8,1356.5,1028.1,0.0,0.0,0.0,0.0,1.85,0.4,0
H0002,2025-10-08,383,767.4,704.8,1257.1,981.0,0.0,16.0,0.0,0.0,1.85,0.4,0
H0002,2025-10-09,142,98.3,83.4,70.1,76.7,69.2,58.7,49.3,54.0,1.85,0.4,0
H0002,2025-10-10,128,102.7,89.0,72.1,80.6,80.2,69.6,56.3,62.9,1.85,0.4,0
H0002,2025-10-11,132,73.0,63.2,55.8,59.5,55.3,47.9,42.2,45.1,1.85,0.4,0
H0002,2025-10-12,163,126.1,112.7,91.1,101.9,77.4,69.2,55.9,62.5,1.85,0.4,0
H0002,2025-10-13,69,126.6,114.1,95.2,104.6,16.6,34.7,62.0,48.3,1.85,0.4,0
H0002,2025-10-14,80,68.1,59.1,50.7,54.9,85.1,73.8,63.4,68.6,1.85,0.4,0
H0002,2025-10-15,71,46.9,40.4,35.1,37.7,66.1,56.8,49.4,53.1,1.85,0.4,0
H0002,2025-10-16,78,47.0,41.0,36.6,38.8,60.2,52.5,46.9,49.7,1.85,0.4,0
H0002,2025-10-17,55,49.5,44.5,45.6,45.0,90.0,80.9,82.9,81.9,1.85,0.4,0
H0002,2025-10-18,69,52.2,47.1,51.0,49.0,75.7,68.2,73.9,71.1,1.85,0.4,0
H0002,2025-10-19,62,61.1,54.8,62.7,58.7,98.6,88.4,98.9,94.7,1.85,0.4,0
H0002,2025-10-20,42,51.9,46.5,48.3,47.4,76.3,89.2,85.0,87.1,1.85,0.4,0
H0002,2025-10-21,49,54.5,48.6,49.5,49.0,88.9,99.1,99.1,100.0,1.85,0.4,0
H0002,2025-10-22,38,46.6,41.9,36.1,39.0,77.4,89.8,95.0,97.4,1.85,0.4,0
H0002,2025-10-23,45,56.0,50.0,46.4,48.2,75.6,88.8,97.0,92.9,1.85,0.4,0
H0002,2025-10-24,56,46.8,42.0,37.1,39.5,83.5,74.9,66.2,70.6,1.85,0.4,0
H0002,2025-10-25,33,46.1,41.1,36.8,39.0,60.2,75.3,88.4,81.9,1.85,0.4,0
H0002,2025-10-26,52,49.0,43.3,46.8,45.1,94.2,83.3,90.1,86.7,1.85,0.4,0
H0002,2025-10-27,61,43.3,38.4,39.1,38.7,70.9,62.9,64.1,63.5,1.85,0.4,0
H0002,2025-10-28,120,39.5,35.0,32.6,33.8,32.9,29.2,27.2,28.2,1.85,0.4,0
H0002,2025-10-29,60,39.9,35.5,31.9,33.7,66.5,59.2,53.1,56.1,1.85,0.4,0
H0002,2025-10-30,54,44.1,39.2,38.0,38.6,81.7,72.5,70.4,71.4,1.85,0.4,0
H0002,2025-10-31,44,50.8,44.8,44.1,44.4,84.5,98.3,99.8,99.0,1.85,0.4,0
H0002,2025-11-01,36,54.4,48.1,42.6,45.4,49.0,66.4,81.5,74.0,1.85,0.4,0
H0002,2025-11-02,54,56.6,49.8,48.6,49.2,95.2,92.3,90.1,91.2,1.85,0.4,0
H0002,2025-11-03,28,51.6,45.6,39.1,42.3,15.8,37.1,60.5,48.8,1.85,0.4,0
H0002,2025-11-04,106,53.2,46.7,50.5,48.6,50.1,44.0,47.6,45.8,1.85,0.4,0
H0002,2025-11-05,29,48.1,42.6,41.2,41.9,34.2,53.2,58.1,55.7,1.85,0.4,0
H0002,2025-11-06,25,47.3,42.2,39.7,41.0,10.7,31.1,41.1,36.1,1.85,0.4,0
H0002,2025-11-07,64,51.3,45.4,46.4,45.9,80.2,70.9,72.4,71.7,1.85,0.4,0
H0002,2025-11-08,90,53.5,47.5,46.4,46.9,59.5,52.7,51.6,52.2,1.85,0.4,0
H0002,2025-11-09,72,68.3,60.2,61.9,61.1,94.8,83.7,85.9,84.8,1.85,0.4,0
H0002,2025-11-10,55,48.9,43.5,43.7,43.6,88.9,79.1,79.4,79.3,1.85,0.4,0
H0002,2025-11-11,46,40.5,36.1,31.9,34.0,88.1,78.5,69.3,73.9,1.85,0.4,0
H0002,2025-11-12,34,43.4,38.3,34.2,36.3,72.3,87.2,99.4,93.3,1.85,0.4,0
H0002,2025-11-13,30,48.9,43.4,39.0,41.2,37.0,55.3,70.1,62.7,1.85,0.4,0
H0002,2025-11-14,69,51.3,45.2,44.4,44.8,74.3,65.6,64.4,65.0,1.85,0.4,0
H0002,2025-11-15,77,76.6,67.7,69.6,68.7,99.5,88.0,90.4,89.2,1.85,0.4,0
H0002,2025-11-16,83,57.8,50.5,51.7,51.1,69.7,60.8,62.2,61.5,1.85,0.4,0
H0002,2025-11-17,67,49.3,42.9,41.4,42.1,73.6,64.0,61.7,62.9,1.85,0.4,0
H0002,2025-11-18,62,61.9,51.4,46.9,49.2,99.8,83.0,75.6,79.3,1.85,0.4,0
H0002,2025-11-19,55,83.4,68.6,57.7,63.1,48.4,75.3,95.2,85.2,1.85,0.4,0
H0002,2025-11-20,184,194.3,159.4,95.6,127.5,94.4,86.7,52.0,69.3,1.85,0.4,0
H0002,2025-11-21,147,236.2,197.0,112.8,154.9,39.4,66.0,76.7,94.6,1.85,0.4,0
H0002,2025-11-22,165,374.5,327.3,166.2,246.7,0.0,1.6,99.3,50.5,1.85,0.4,1
H0002,2025-11-23,156,407.3,359.9,185.1,272.5,0.0,0.0,81.3,25.3,1.85,0.4,1
H0002,2025-11-24,122,413.2,364.7,200.3,282.5,0.0,0.0,35.9,0.0,1.85,0.4,1
H0002,2025-11-25,119,419.9,371.4,195.3,283.3,0.0,0.0,35.9,0.0,1.85,0.4,1
H0002,2025-11-26,118,462.3,413.9,240.4,327.2,0.0,0.0,0.0,0.0,1.85,0.4,1
H0002,2025-11-27,121,456.7,401.6,233.3,317.5,0.0,0.0,7.2,0.0,1.85,0.4,1
H0002,2025-11-28,283,639.6,589.9,448.0,519.0,0.0,0.0,41.7,16.6,1.85,0.4,2
